texts,created_at,location
What if Muhammad knew the name of the Creator of the Universe was “Sharif” so he decided to make sure Islam reverence the name “Sharif” as holy for infinity and beyond,2022-10-06,St.Louis City 
"N Mohamed was influenced by Judaism until Medina...

I wonder where those caravans we're heading that early Muslims waylaid, just deserts methinks...",2022-10-06,"Burien, WA"
@steve_hanke What Indian forces doing with Muslims.. Bulldozes their homes for nothing.. Shame on humanity https://t.co/VJh6QIX4SF,2022-10-06,Pakistan
BOOTY DIRT???? please come to islam i’m begging y’all https://t.co/qQiD4F4lA1,2022-10-06,bay area
"What if a Muslim woman in France is uncomfortable stepping out of her home without covering her face? Or if a woman in Iran or Afghanistan chooses not to cover their head? Why will men even have any say on it?
#IranProtests2022 #choice #womensrights #rights",2022-10-06,
"@HenryKrinkIe Reps/Dems back then:
""Muslim Obama destroyed our nation with his commie agenda!/ ""More like John Boner. LOL!""

Raps/Dems today:
""FOLLOW THE RABBIT TRAIL. WWG1WGA. WHITE HATS RISE UP.""/
""[1/3] its funny but also lynchian how chuds memory-holed the queer history of santa claus...""",2022-10-06,Not So Great Lakes
@Isen_Li @Smilesz2 @AFP The rich white countries wasted so much on their own propagandists and failed to “buy off” the actual Muslim countries. 😂,2022-10-06,"38.9072° N, 77.0369° W"
"[ WTS ONLY FOR NON MUSLIM ARMY 🇲🇾🇲🇾 ] 

QYOP!!
 jimin mots v2 &amp; group butter peaches 

will give u free jimin mots v3 #pasarbts #pasarbtsmy https://t.co/hOulKpv8Sw",2022-10-06,
@MiddleEastMnt You mean the Cave of the Patriarchs that Abraham purchased from Efrom the Hiti in Genesis. Holy to Judaism way before the Islam came to this world. The site is holy to Jews so don’t try to separate us from our holy sites.,2022-10-06,
"Would’ve loved to hear the same people shouting about human rights in Qatar at: 

- Russia, 2018
- Brazil, 2014
- South Africa, 2010 

Or do we only care about human rights when it’s a Muslim majority nation? 

#WorldcupQatar2022",2022-10-06,"London, England, She/Her"
@campbellclaret Crap. Why not ask ur payers in ME why they reduced production or their deep sand reserves not being used or thair lack of humanity to their muslims u want her. U r a k@nt Campbell the sooner people see this as ur a prossie to who pays u or @theneweuropean rubbish,2022-10-06,Here & there
"@TheFun96593011 @EconEngineer @ArkhamFantasy @FHickens That's not really a set of options, just a step by step conclusion to be and do only one thing. 

That's not fair. 

You can either do things my way or the highway. You are either straight or you are gay and dead. You can't date Muslims or Jews but you can marry Christians.",2022-10-06,"Melbourne, Victoria"
"@DonWagnerCA to play identity politics like your brethren @katieporteroc but what about meeting with the community at some point or do your donors not like that jew, christian, muslim, hindu all the same how about meeting with us with our concerns? or will that impact your q of life? crony?",2022-10-06,"Anaheim, CA"
@mmpadellan Since you are a Muslim. What does Allah teach you about women?,2022-10-06,"Indianapolis, IN"
This has the potential to be one of the greatest comics released in the first 1/2 of 2023 about a fallen republic ruled by a Chancellor named Mann with a german speaking henchman about to be taken down by a young boy of Muslim heritage. https://t.co/E2hORmPwry,2022-10-06,"Chicago, IL"
@ISLAM_IYAT Amin,2022-10-06,
"@kalayaanlover A predictable diversion. If we were talking about a Muslim church I would have no problem writing exactly the same column.  

And if you want to talk about courage, start by putting your name to your tweets. Although if this is the usual quality, I wouldn’t either.",2022-10-06,"Melbourne, Victoria"
"@theonesaifullah @the_hajji @MudaReturns @3DevilsR123 @BakrisPostingLs The Prophet (s) said, ""Fatima is part of me. Whatever upsets her upsets me, and whatever harms her harms me.""
- Sahih Muslim, v. 5, p. 54

Is the person who upsets our Prophet (S) a good person? Would love to know your standard",2022-10-06,"San Francisco, CA"
Full Channel 4 Interview Hindutva/Muslim Tensions https://t.co/DgN9QvhG29 via @YouTube,2022-10-06,
"@MRobertsQLD Islam rejects Homosexuality. Christianity rejects homosexuality. Only Jesus Christ ,loves homosexuals and seeks to invite them, unto HIM ,...and 'Sin No More'!!!. Get the drift? What's the problem? Or AFL has a problem with Jesus Christ and Mohammed?",2022-10-06,Melbourne
"After RSS' Muslim outreach, Shah haults speech for Azaan
@msharma179 @NewsX 
https://t.co/msRfqfo6Ml https://t.co/6muetTUdjJ",2022-10-06,New Delhi
