texts,created_at,location
"@vaarufj @KonstantinKisin The hostility is warranted. In context, Putin referred to the West's (the U.S.'s in particular) hostility to traditional values and its attempt to undermine them, along with all religious faith (except Islam, of course), to create a soulless subservient world.

So 'satanic', yes.",2022-10-03,Noemaville
"@rohini_sgh The reference of ""hate"" never seems to include the view of Islam, Christianity and the secular discourse, that the Indian traditions (including festivals) are immoral a priori.",2022-10-03,
I love edits of Goku where he's muslim,2022-10-03,
@KFILE A 1400-year-old secret about Pakistan – Pakistan was made by Allah SWT on a dua by Prophet Muhammad SAW. Islam will rise again from Pakistan to the whole world and it will be lead by Imam Al-Mahdi. Muhammad Qasim's divine dreams https://t.co/j8hpd95LwI https://t.co/zIVC2Av5ly,2022-10-03,
This is facts. The narrative is “Islam hasn’t fought a top 5 guy” but the argument is if he beats Islam he’s the goat? That math isn’t mathing https://t.co/sK3T0Sm2MW,2022-10-03,"Bronx, NY"
"@dcMarul @9inerline @listokki @fvader2 @JENNIEDREAMIE @newjiram @NewJeans_twt But misogynistic men and culture who don’t follow Islamic rules but claim they’re islamic are perpetrating there crimes. So now let me ask you, what the bloody hell does that have to do with Islam??? They’re not even following the quraan but you wanna tell me Islam is sexist 🙄",2022-10-03,
@hockey_habs @longwulf95 @ThaWeasle @JairAntunez Khabib's 4 title wins vs Charles 2 current (3 if he beats Islam). He's got 2 to go to tie Khabib.,2022-10-03,
"@JohnKhanTheDon @RaulSenna2 @KhalilAndani @jihadwatchRS As well, the discourse against the Khawaarij shows how the zealots would ""recite the Quran though it does not pass their throats."" That they misapply verses. To then suggest they are the truest Islam, is dishonest. 

The way you engage, I think this might be Robbie himself. :)",2022-10-03,Global
"@james_daviduk @snaketime01 @andersonisneo @RyanWetherald @SandyMo45199837 @joncoopertweets She wants all Jews exterminated.
That I know. Muslim? Idk. Radical Islamist. Yes",2022-10-03,"Boston, MA"
Whats the big deal about Hindu king's and their supposed piety. Sanatan Dharma led them to nowhere. They were wiped out on a regular basis and replaced with someone else. Same with Muslim Kings. But European Royalty some are ruling in unbroken line for over a 1000 years. Why??,2022-10-03,
"As Pakistanis, we are ritualistically Muslims, and spiritually Hindus.
#observation #perspective",2022-10-03,"England, United Kingdom"
@_sayema Are you asking for a woman friend or a male friend? Are you asserting  that female Muslims would be unsafe at a dandiya?,2022-10-03,
@MrMubinShaikh @JohnKhanTheDon @KhalilAndani @jihadwatchRS Leave Robert Spenser what are Ex. Muslims are saying at the cost of death threats. @teamsachwala,2022-10-03,Under the sky on the earth
Never gonna catch Islam in that position https://t.co/O2qQajdOy5,2022-10-03,
@Fanzi25000 @MargaretClassey @Mondoweiss Huh?  Where were you educated?  Anywhere?  Perhaps a Madrasa?  You replying to the wrong person anyway.  No one here is talking about Muslim terrorists bombing 71 women and children in a cafe and more on a bus ... but surely we can.  Hamas is true evil. Get the facts Jack.,2022-10-03,U.S.A.
"#راناپرموشن🌹 
Morning Promotion FB all
🌷@life_solved 👈Team Head 
🌷 FB 💯
@Sh__3659 
@NB2662 
@karimi_shigri 
@luca_msp 
@manokha9 
@d9ich 
@Adnfaisal 
@Riz8t 
@D_O_Islam 
@sawar333 
@Fdkm313 
@mrsfaisalzamir 
@B_7861
@sk_00777 
@_Sheraz_1 
@mba748 
@anitaji_
@s3659_
@Ali_3937 https://t.co/JtJ248RHek",2022-10-03,UAE
"@Mediarama2 @ndtv By that logic, all muslims should avoid mosques.",2022-10-03,mumbai
@Lollardfish The koran being written by followers of Islam seems like a problematic assertion. Pretty sure the whole divinely authored thing is a big deal to Islam.,2022-10-03,
"As a Muslim if you get this compliment from someone, just know that you’re not on the right path, you’re just on your own. https://t.co/X6j6YuqwKA",2022-10-03,"Kano, Nigeria"
