texts,created_at,location
and not a Muslim in sight https://t.co/FngzhqUWnp,2022-10-04,USA
@desimojito This man knows that anctors look /get up is decided by the director. In this case Om Raut. Yet he chooses to attack #SaifAliKhan only because he is Muslim. But call b India a hell for muslims and they start whinning. Shameful.,2022-10-04,Union Of India
"@annas____couch @CBSNews That's why I specified ""radical"" rather than just Muslim.",2022-10-04,The Great Tundra
"Houses belonging to muslims demolished in UP and MP, muslims flogged and assaulted while public cheering  in Gujarat, muslims  even lynched and killed in  UP, MP,Jharkhand, Chattisgarh,  what else India is waiting for to become a Nazi state ? The concentration camps? Really",2022-10-04,New Delhi
"@GAUAHAR_KHAN Dear Muslim men you should not go to these events, it is true it their religious event so why go? Also your girls in hyderabad are getting married to old shaikhs due to poverty, if you want to help your deen help by marrying such girls thaninsukt yourself like.",2022-10-04,
"@TruthBy_JN I had a friend who was justifying the Muslim/Muslim ticket thing. I just asked him,""Are you joking?"" He told me ""No"". I just blocked him and deleted his number that minute.

Who needs smelly people as friends.",2022-10-04,Nigeria
"@RitaPanahi I sometimes babysit my young Indonesian Muslim nieces, that quickly take off their hijabs as soon as mum and dad leave. We also have a private joke about how they ""power pray"" when their parents aren't about 😂😂😂",2022-10-04,
"@amarDgreat @GAUAHAR_KHAN 💯 % it’s agenda of hindutva terrorist organizations, these Hindu terrorism is destroying the secularism of india.
When we Indians settle in abroad &amp; expect citizenship equality then why Muslims, sikhs are target in this country. Inspite living in india since 1400 years",2022-10-04,
@TheNotoriousMMA Chandler or porier and Islam or oliveria ?,2022-10-04,
@FernanddoSanti @dmm121212 @MrCanSays @BBCWorld Muslims wear hijabs in Christian countries and why do women protest in France and India for hijab cnn boy,2022-10-04,
#refugeecamp #europe1 PastPresentFuture in 1 site:Will Islam take over #Europe or will #Muslims gradually #integrate https://t.co/8VczNlNUwg,2022-10-04,UK
"@1stStyleBender @Xynyx2001 @BeatTheCult No I'm not raising any of them atheist. One will be christian, one muslim, one jew, one hindu, one buddhist... Why would they want to become an atheist if they believe the one true religion?",2022-10-04,The Bunker
@cletusnsol @bamwinejnr It doesn't take being Muslim. It takes have brains,2022-10-04,
@Empty_America Mormonism is the White Man's Islam,2022-10-04,
@Rex_Romae At least I show myself. Don't hide ready whenever. However you know about you. You crying Russia. Which one? Where Africa huh? Liberty East location you choose you already know maybe strong black chin evil China man Islam grown willing whatever try die live. Fight another day,2022-10-04,
@RGamerB_ @MAHMUDU69861081 @jim_ohh @Askwhyisit Islam is the name of the religion. Muslim/Muslims are the followers/believers,2022-10-04,
@Kristie_Bae @RadelaideRob Very slippery slope this one. Will they block a Muslim from holding the same position? They have similar beliefs. People can have a belief and not enforce that onto others. As long as he didn’t do that there’s no reason he couldn’t do the job.,2022-10-04,
"@Ostrov_A I will *never* apologize for being Muslim, Palestinian and Jihadist. This goes to the very core of who I am. I will *always* walk tall, proudly and unapologetically carrying the flag of Palestine, Tawheed (Monotheism) and Jihad!

From the River to the Sea #Palestinewillbefree https://t.co/HgvD0eavBI",2022-10-04,Brazil / Palestine
@TheNotoriousMMA Islam vs Charles who wins?,2022-10-04,Deez
"@gganeshhh Our poor Mahants and Swamis still have to do this to keep a meagre share of it, survive and still build on our culture.  Why don't you post this in a roundabout way and show this to the Christian and the Muslim community of what they are falsely entitled to all these years?",2022-10-04,
"A Discussion with  @India Matters with Rohit Sharma ​ 
 | Why Muslim men were attending Garba 
#india #garba 
https://t.co/ve16Za34e3 https://t.co/PouX9GD2is",2022-10-04,Canada
"@clamouredmusk @AsTheRedsGoOn @englandcricket @RL_Cricket @SaqMahmood25 It appears in some translations of verse 9-29  (below) wrt sparing the lives of the non-believers if they pay a tax (jizya).

Of course ""Islam"" itself means 'submission' (to the will of Alllah) https://t.co/cYtUS348rK",2022-10-04,UK
"@MuzzyAhmed200 @dmm121212 @MrCanSays @BBCWorld The truth is hurtful for you? Women have no freedom in Muslim countries, why deny that?",2022-10-04,
"@mhdksafa in my experience, which is fairly wide across several time zones of the united states, muslims are customarily some of the most kind, thoughtful, accepting, and generous human beings i have ever met",2022-10-04,"Tucson, AZ"
"@elishiffy Islam going to take him down, make him tired, talk to him little bit and make him quit.",2022-10-04,
@dilbert123 @LPStaySafe should have appointed a panel of 2 (a muslim and a hindu). This appointment shows the police has no clue about the dynamics of what occurred in Leicester,2022-10-04,India
"@DendeaTaye So Tigray isn’t Ethiopia then, thanks for clarifying that for us and for the world. You are killing my people nothing is important than the life of a human being.",2022-10-04,
"@BrisketDada @DrDavidInDC @ogalili @OnlinePalEng First of all, they're children. Secondly, they played on their side, the Muslim side, and there's no problem if our Muslim children play in the mosques. So calm down gramps",2022-10-04,Medina 1400 years ago.. i wish
@RepAndyBiggsAZ Why do only Muslim theocracies and you want to ban abbortions?,2022-10-04,
"@zoo_bear @TheKeralaPolice He seems to be a repeat offender in peddling fake news, especially against Muslims!!",2022-10-04,World
"@TheNotoriousMMA 1)Are you currently shooting a movie or something?

2) When will your return to the octagon be?

3) who wins Chandler vs Poirier and Olivera vs Islam?

#asknortorious",2022-10-04,"Heavener, OK"
"@1999jpk @fargman80 @ScottAdamsSays The Muslim ban

Taking children from their parents at the border..180 children still have not been reunited

He pushed the Obama ""birther"" lie

Called Mexicans rapists, Coronavirus the ""chinese flu,"" and ""both sides"" Charlotesville

Sheesh

You know all this. You're so annoying",2022-10-04,
"@CdnFreedomGirl @JustinTrudeau @liberal_party Look what they think of him.

https://t.co/9wJM82TZlY",2022-10-04,
@TimesAlgebraIND Every Muslim actors movie will be boycotted for some reason or the other. Even though these actors are Muslims in the name only!,2022-10-04,USA
"@WinterburnSimon @Lufcmuslims @SkyNews Please tell me how many WHITE school girls systematically have been groomed in the last year's by Pakistani Muslim men, 1400 it was reported recently but police were too scared to do their job because they feared the R word👀🤔but yes, flood the country with even more of them👍🏻🥴",2022-10-04,
@CrimeInDetail @photomessenger @keemakardarshan @AskAnshul What are the #hindutva thugs doing as we speak? Lynching and giving calls for annihilation of Muslims and attacking them any which way. Calling for #hindurashtra which is no different than Khalistan.,2022-10-04,
i'm muslim 💪 https://t.co/7oCbbTeSM7,2022-10-04,17 🇸🇴
"Top story: @HindutvaWatchIn: 'Location: Kheda, Gujarat 

Muslims flogged publicly! 

In BJP ruled Gujarat, nine Muslim men who were allegedly arrested for throwing stones at a Garba event were tied to a pole and publicl… https://t.co/tYNheIc8aw, see more https://t.co/yTstu0tP24",2022-10-04,"Bangalore, India"
"@JustinTrudeau Here is a good article on you from the Jerusalem Center for Public Affairs.

https://t.co/9wJM82TZlY",2022-10-04,
"A very good article, worth a read!

#CdnPoli 

""What we owe Mahsa Amini and all Muslim women"".

https://t.co/8uZPDHvc0Q via @torontostar",2022-10-04,"Toronto, Canada"
"@VivtorJordan @JewishAntiZion @Josh_Pactor @SamLevinson8 @LuckyManAlways @Pakeha56 @Busternr1 @Brad_Spielman @P3ng1z @manifesto2000 @RubberD24181723 @wiseduck2 @eye_seeeee @Jerusalem2751 @Ronisonit @ogalili @BgoerckeRobert @AndyStill11 @JonahlvriAnochi @dezi555 @BoomerangTime @Th2shay @HillsHaveEyes02 @speedymc67 @ahmedyoussef810 @Indisciplined12 @kevinadiamond @xz944tpnqq @CohenBcohen @MylesP130 @LavBaalDevarim @MisterTwyst @donjohn9999 @lesterliblester @emmettimanu @garybkatz @2noPropaganda2 @spellerwiix @IloveBush43 @zaf187hussain @arshadhk1 @Tiredoftrollsuf @ChanaFeinstein @TEinsteinMD @NKippur @JohnBatista528 @dlsmith0817 @SagyPM @michaelveris Why are you pretending to be Muslim? Real Muslims don't say ""Christ PBUH,"" they say ""Isa (a.s)""",2022-10-04,
"@BBCPaulMoss @simonmontefiore Who is JF, I don't know but as a secularist Turkish Muslim I am so glad that Simon Sebag Montefiore has always stood with the freedom and peace seeker Muslims against the Islamo fascist dictators in Muslim countries.
God bless him and I wish him a blessed Yom Kippur🙏🕎",2022-10-04,
"@3AW693 If you’re a middle aged white male Christian, you’re in the firing line. If this guy was Muslim he’d be still there.",2022-10-04,
whitelist Specified @tawandat85 @islam_sebs @Sipho56353803 @BHippmann @peteeminent @T_mann354 @NBM20963751 @didonatomarco31 @NickSTARNguyen @01Nathie @JohnHen67342406 @Ryan53604184 https://t.co/0NFqEcInZJ,2022-10-04,
