texts,created_at,location
@ARanganathan72 Why are muslims only treated as minorities?,2022-10-13,
I believe that is why Islam has such high regard for mothers and why paradise lies under the feet of our mother.,2022-10-13,"London, England"
"If I was an Obidient, nothing will keep me in Labor Party. To me, this is more dangerous than a Muslim-Muslim ticket. https://t.co/oH77nQU0Xy",2022-10-13,Croc_city
Congratulations to Imam Mahdi(عج)🙌 and the whole Muslim world on the birth Anniversary of Prophet Muhammad(ص) and Imam jafar sadiq(ع) https://t.co/jwXGOxmkdo,2022-10-13,🇮🇷٣١٣🇵🇰
"@Fazzanelli11 L, there isnt a single jp muslim daee or fan out here, ur just a twitter disagreement bot",2022-10-13,
"United Nations Human Rights Council (UNHRC) rejected the bid by the US and European countries to debate rights abuses against Muslim Uyghurs and other ethnic minorities in China.
https://t.co/FgCTVnoR7b",2022-10-13,
@SaketGokhale @ANI How the f is a muslim woman wearing a hijab off any problem to any sane hindu?,2022-10-13,India
@GamerHijabi @MidnightMitch They only support Muslims when it's helps their cause,2022-10-13,
"@authentic_SD @flyingbeast320 She wants to become woke when the fasting season comes of Hindus and in second hand she was considereding burkha and ramzan as  progressive
This is what called hypocrisy not hindu muslim angle lol",2022-10-13,
"@MidnightMitch Muslims have been involved in white supremacy in the past, so this isn't surprising. Here's hoping for more criticism of Islam from ""the Left"" in the future.",2022-10-13,"Vero Beach, FL"
@0ffwithmyhead @SlavaUk30722777 So do majority of Muslim women. I do not want to remove any ones head gear as it is there for a reason and shld be respected. We just want our head gear to be respected too otherwise everyone shld remove theirs too. It's aparthied then.They wear it as religious duty so do we.,2022-10-13,
@danvir_chauhan 100% and especially girl child as muhammad.... Sunat of Islam,2022-10-13,
"@FAILUVR Muslim
Atheist
Boring...",2022-10-13,She/he
"@peneme @CDAnPrimReserve @Sacrobosco2013 He's saying the Muslims DID conquer Europe, just not all of it.",2022-10-13,
"The more I stay at this job the more I am reminded of the beautiful position of a woman in Islam, and reminded of how hard it is to be a رجال in todays world. may Allah ﷻ make it easy on the ummah",2022-10-13,
@daily_trust So now Polaris Bank they don’t need any Muslim as a staff or what?,2022-10-13,"Kano, Nigeria"
"@MuseGalaal_ @EthioSeeker Muslims had an alliance that is hard to read into but it was about preserving their existence. That's why Imam Ahmad didn't have to conquer beylul, he recieved reinforcements from it.",2022-10-13,Yemen
"@TulsiGabbard Hey Tulsi, speaking of war mongers, remember when Biden droned those innocent ppl in Afghanistan and THIS was your reaction? Anti-war unless we’re slaughtering Muslims, amirite? https://t.co/N50rO4KI3z",2022-10-13,
@varusruju @harisenthusiast so bhai jaan did I said anything against your religion despite you continuously talking about Islam and all without prior knowledge. Obviously Hinduism is older religion and you are free to follow your religion without belittling any other religion especially abrahamic religion.,2022-10-13,
"@ta28391 @RashmiDVS See the problem is that u r not understanding a basic thing that whatever god we worship ,they are not divided according to regions , religion, etc. Muslims worship allah which means they r praying to a supreme form of god , same with Christans and other monotheistic religions",2022-10-13,
"Ibn Taymiyyah

When the victory returns to the disbelievers, it’s because of the sins of the Muslims their lack of faith, their ignorance of tawhid

But if they repent in perfecting their faith in returning to authentic Sunnah Allaah will ensure victory without the least of doubt",2022-10-13,shin sekai
"United Nations Human Rights Council (UNHRC) rejected the bid by the US and European countries to debate rights abuses against Muslim Uyghurs and other ethnic minorities in China.
https://t.co/sqiFSKrBRA",2022-10-13,
@Almomax1 @varusruju I think they hate Pakistan and Muslims with no reason lol.🫣,2022-10-13,"lahore,Pakistan"
Germany Refuses Asylum for Muslim Apostate who Faces Death in Iran https://t.co/EOwDpOkwXu #Iran #Muslim #Christians #Refugees #Asylum,2022-10-13,"Santa Fe, NM"
@Africa_Archives Who were the Muslims being protected from?,2022-10-13,
"@Amadou42220311 @iluminatibot Yes it is and Muslims believe all this thats taking place will link to his coming so all this wars and the coming global war is president.. But first the Saudi ""civil war is the key indicator"" and its coming",2022-10-13,United Kingdom
@ndtv No both are in favour of banking hijab but one thinks if  this happens then Muslim girls will never go for study in modern education institutions,2022-10-13,
@RonK3l Ive said it for years... Muslims dont play with the system like Christians have been doing for generations...,2022-10-13,
@TheRightWinger9 @Scrooge671 @kwilliam111 @JimminyCrikket2 @JimGael5 @Mehdi80750168 @MrWasnt @Mr_E_1983 @GrdOdrAlfredGt @maddog60352461 @KenViatex That’s your problem. You obviously detest Islam. But Islamic followers number approximately 1.7billion people (depending what source you read - either way it’s a lot of people). So you’re judging the majority on the actions of a small minority.,2022-10-13,Land Of Woke
"My stand as Shadow Prime Minister of India is clear:

Hijab isn't essential practice of Islam, as headgear is for Sikhs

It is regressive to Muslim women, keeping them under boots of Muslim men

Moreover Hijab is a recent Middle-Eastern import that radicalizes Indian Muslims https://t.co/AdBQkr1Ym8",2022-10-13,Hyderabad
Why Do The Muslims Cherish The Blessed Birth of The Prophet of Islam? https://t.co/wTD34ICVGE #breakingnews,2022-10-13,michigan
@beowulf4142 @GadSaad Reality of your right wing obsession with muslims.,2022-10-13,
"Islam is not pro life! Christianity, is the only truly pro-life world view! https://t.co/6Q8dAOuRqf",2022-10-13,United Kingdom
"@ARanganathan72 Why the fk are YOU angry/ sad/ happy diiikkk garliiic about it.
Did any of those college girls asked YOU to raise voice on THEIR behalf??
agar itna chota baat pe itni chinta ho Rahi hai Muslim women ki tab to tum Bilkis bano se milne bhi gaye hoge? Tweet to pakka kiya hoga",2022-10-13,
"@Captaincoby00 5.6 million canadians, prevented from getting on a plane, train, or crossing a border.  Prevented from restaurants, from schools/colleges, from jobs.  Fired from hospitals, from government jobs, from airlines.  This does not happen to jews, muslims, gays or trans.",2022-10-13,"Alberta, Canada, California."
"@AuronMacintyre After seeing how Muslim parents loudly protested against transactivism in schools, &amp; poor woke White snowflakes couldn't utter a word for fear of ""Islamophobia"" (boogeyman of their own creation), these infightings have been most entertaining to watch, sort of cathartic even.",2022-10-13,
"@factsarefactsz @GabbarMogambo @ndtv Well
If Muslims can be allowed to go to schools in hijab, why can't they go n@ked?",2022-10-13,
"@SalVulcano @marknorm no one of Muslims care about you guys , if you need oil call us poor people https://t.co/RKkj72ZUaG",2022-10-13,Egypt
@RealCandaceO @kanyewest Get with the Islam community of brothers like @RizzaIslamIX  open a bank by and for the black community. To be protected as well as the staple in helping the black community that wants/ needs to help themselves as All of you have said to buy land etc. Pull us out of the dark age!,2022-10-13,
Good meeting with @EmilieMoatti of the 🇮🇱 delegation @israelinCoE at the @PACE_News session today. We agreed on the urgency to combat both #Antisemitism AND hatred of #Muslims which is increasingly spread by racists and extremists. https://t.co/tBIUSlom9Y,2022-10-13,
@Astrophile1995 @sohrabNaseer @MuslmEYE You do realize he’s talking about defending Islam right? Not physically fighting right? And hold on.. are you Muslim? If you are Muslim why are you Takfiring? Why are u mad a fellow Muslim wants to defend the religion of Allah?,2022-10-13,A traveler in this world 
@AJ_093 @harisenthusiast @Almomax1 Pakistan muslims eat pig also they love so much pig meats,2022-10-13,
"@cat303 @PaddyM10128237 @StrongRoots11 @YorksRose_84 I have a house in Turkey. Had it over 20 years. So I do meet and know loads of Muslim people.
They are the friendliest people I know. And they are Muslim as you know. 
Most of The people who are coming on the boats are 90% young men. 60% Albanian.
They are not refugees.👍🇬🇧",2022-10-13,
"@AJEnglish This is directed attack on Muslims institutionalised ways.
Look at the pic..... dehumanising Muslims and anti-Muslims is so legal there",2022-10-13,
@MuftiMoncler oh no I know exactly what you’re talking about im just asking how the gov takes your phone data specifically about islam and showing you recommendations about whatever your talking about by showing mufti menk,2022-10-13,
Congratulations to Imam al-Mahdi (a) and the Muslim Ummah on auspicious birth anniversary of the Holy Prophet Muhammad (s) and Imam Ja’far al-Sadiq (a)🌺 https://t.co/sYubfvaUuB,2022-10-13,"Curitiba, República do Guayrá
"
"@ShnImene @wellofthinking Hes completely wrong and ignorant, quwama tht requires superiority its between a wife and her husband, to generalize this statue to all men over women is ignorance. 
""Inferiority means woman"" !!! This is sick and its a kuffar mentality toward women islam is free from this.",2022-10-13,
@angelasmythe1 @GadSaad Reality that the poor muslim rapists are being discriminated against.,2022-10-13,
"The Seven Hadeeth: Obligatory Knowledge That Every Muslim Must Know GOZUDWB

https://t.co/E0B9De8rXr",2022-10-13,
@youwilldance_ @Halfbreed138 @MMAJunkie Why do Islam fans lie? He jus subbed Kevin Lee off his back 2 years ago.,2022-10-13,"Richmond, IN"
"United Nations Human Rights Council (UNHRC) rejected the bid by the US and European countries to debate rights abuses against Muslim Uyghurs and other ethnic minorities in China.
https://t.co/GDPq7nhEBp",2022-10-13,
@europacnfleague 1.FC Muslim City 🤡 https://t.co/2GMtaYPQR4,2022-10-13,NISSA
"@tooslick222 @Padhraic_Bhthdh @owenrumney Yeah. I really admired her. Her silence on communal violence against Muslims was deafening and heartbreaking.

But it was also her starkest and most obvious departure from liberalism, so doesn’t exactly shake my worldview.",2022-10-13,"Washington, DC"
"@Rdlk13 @KS4P45 @campbellclaret I repeat, I'm anti-TERRORISTS.... the vast majority all around the world being Muslims is a fact.
You wanna stuff your head in a sand pile like a bloody ostricht, be my guest.",2022-10-13,The EU
"""There is an hour (opportune time) on Friday and if a Muslim gets it while praying and asks something from Allah, then Allah will definitely meet his demand."" And he (the Prophet) pointed out the shortness of that time with his hands

Sahih al-Bukhari 935 
.",2022-10-13,worldwide
@johncburner1689 @Yehoshua_x27 Yeah I get that but I understand where Dr. White is coming from too because he has to stay consistent when debating these things with Modalists and Muslims. So he has to draw from the text itself and not appeal to creeds or confessions.,2022-10-13,Southern California
"United Nations Human Rights Council (UNHRC) rejected the bid by the US and European countries to debate rights abuses against Muslim Uyghurs and other ethnic minorities in China.
https://t.co/cpibgBQVXl",2022-10-13,
@ARanganathan72 @SCJudgments @indSupremeCourt if one can wear a hizab it's now other non Muslims they can also wear what ever they want as a freedom of choice so skirts sarees chaniya choli all will be allowed.,2022-10-13,
@beowulf4142 @GadSaad The majority of rapes are not carried out by muslims. You get the picture.,2022-10-13,
@xxx_asura @Amsterdam_AR @Innacry4help @MMAFighting Except he was asked about his opinion on Charles and Islam fight lol. Khabib doesn't wakes up saying shit about Charles or anyone lol,2022-10-13,
"@Olle7Ho @oflynnsocial @SuellaBraverman @pritipatel But next year the quota will be more.  65,000 maybe.  Year after 100,000.  We are literally being squeezed out of our own country.  For what. - a Muslim war, a war with NATO, a war with each other.  End of times I’m afraid.",2022-10-13,Wherever
"@RShivshankar This binary man!
He has nothing other than Hindu Muslim!
Such people, let alone journalists are the bane of India!
Such hatred!",2022-10-13,"Nagpur, Maharashtra"
@BaffaOmar11 I only know my reality and Italians are like that.  I am a Muslim and only at the end of it all i am italian,2022-10-13,
@rishibagree Revolution to yeh hai see-through Burqa on bikini in Muslim countries.,2022-10-13,San Francisco Bay Area
"Mega thread on nobility of Muslim sultanates of India is upcoming!

Just wait for few days!",2022-10-13,
"Having said that, I do understand sanghis want to ban hijab not to liberate Muslim women but to exercise further control over Muslims, their faith, and their lifestyle. Which leaves me so divided on where I stand on this whole issue.",2022-10-13,Monalisa Lodge
"@shubhankrmishra The characters should be Muslim or any other religion.   
Otherwise, they are giving the beautiful message",2022-10-13,India
Muslims and Mosques of the world please stand up against the IRI and support the people’s #IranRevolution2022 for freedom and democracy. The regime uses political Islam as a tool to control the masses. They are ruining the name of your religion. Join in solidarity. #مهسا_امینی,2022-10-13,
"https://t.co/oQV58K4gHZ

Actions on Islam Ppl r started by Italy #govt &amp; Italy Ppl...Q?🙏

A:✍️ F/W just fr infn &amp; confirm . See this video . 

#India, #Hindus, #Sikhs, #Budhha",2022-10-13,"Miryalguda,Telangana, India"
"@BAD_ACID_LABS Are you speaking of the bombings themselves, or about the fact that people started to single out Muslim/Arab/black citizens who were not involved or doing wrong for scapegoating afterwards?",2022-10-13,A global account/hashtag
@vickelokorie Please let it be conpontency because we have many Muslim brothers and sisters that have condermed that already.,2022-10-13,"Port Harcourt, Nigeria"
@thereader1978 Oh another casual muslim who has no idea about mma. https://t.co/txFZ4gUg2f,2022-10-13,
@MissionAmbedkar @BSBommai @BSYBJP Allah's ﷻ wrath. The opinion of Muhammad Qasim bin Abdul Karim is from a vision in a dream where Allah ﷻ was angry at the Muslims and their punishment is severe and difficult from Allah ﷻ. To know more visit the website https://t.co/Xtt5jZpnUA or search ‘Muhammad Qasim Dreams’ https://t.co/1GBtEG20C0,2022-10-13,
"@Baisla5191 @ZappasC @ClaudiaWebbe Occupied Muslim regions high handedly. Junagarh, Gurdaspur, Hyderabad, Kashmir. Assisted fall of Dhaka.",2022-10-13,
"@JohnFanimokun @PeterObi And thunder will fire you for saying this, in the last 8 years what’s been happening in this country and are you saying this to justify your Muslim ticket",2022-10-13,Dakar
On one hand these pajeets abuse Ms every day and other day they won't hesitate to wipe the a£s of Muslims abroad! https://t.co/bgPDSRuKoV,2022-10-13,South Africa
@tinie_aibro @kaitamustapha Exactly. But i can still remind him how islam say we should treat our spouses ai,2022-10-13,Kaduna
